Date,Confirmed,Deaths,Recovered,Active
2020-02-01,12038,259,281,11498
2020-03-01,87690,2990,41208,43492
2020-04-01,947569,50029,189434,708106
2020-05-01,3355922,239881,1026501,2089540
2020-06-01,6280725,376674,2639599,3264452
2020-07-01,10667386,516221,5397083,4754082
